Location ,Longitude,Latitude,Wind Pressure,Wind Speed,,,
1,-92.4,19.4,1009,25,,,
2,-92.55,19.58,1007,27,,,
3,-92.7,19.8,1006,30,,,
4,-92.86,20.09,1005,32,,,
5,-93,20.4,1004,35,,,
6,-93.12,20.69,1002,37,,,
7,-93.2,21,1001,40,,,
8,-93.26,21.33,999,42,,,
9,-93.3,21.7,997,45,,,
10,-93.35,22.14,996,47,,,
11,-93.4,22.6,995,50,,,
12,-93.47,23.06,993,52,,,
13,-93.5,23.5,991,55,,,
14,-93.42,23.89,991,55,,,
15,-93.3,24.2,992,55,,,
16,-93.21,24.42,992,55,,,
17,-93.1,24.6,992,55,,,
18,-92.91,24.77,993,55,,,
19,-92.8,25,994,55,,,
20,-92.9,25.38,994,55,,,
21,-93.1,25.8,994,55,,,
22,-93.23,26.15,994,55,,,
23,-93.4,26.5,994,55,,,
24,-93.68,26.89,992,57,,,
25,-94,27.3,991,60,,,
26,-94.32,27.68,988,62,,,
27,-94.6,28.1,986,65,,,
28,-94.8,28.6,982,70,,,
29,-95,29.1,983,75,,,
30,-95,29.2,983,75,,,
31,-94.98,29.72,986,56,,,
32,-94.9,30.4,991,35,,,
33,-94.74,31.16,995,27,,,
34,-94.5,32,1000,20,,,
35,-94.17,32.89,1004,17,,,
36,-93.8,33.8,1009,15,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
