Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-86.6,26.2,1009,25
2,-86.96,26.13,1008,27
3,-87.3,26.1,1008,30
4,-87.62,26.13,1008,30
5,-87.9,26.2,1008,30
6,-88.06,26.24,1008,30
7,-88.3,26.3,1008,30
8,-88.79,26.38,1007,30
9,-89.4,26.5,1007,30
10,-90,26.66,1007,30
11,-90.6,26.9,1007,30
12,-91.14,27.24,1006,30
13,-91.7,27.6,1006,30
14,-92.36,27.87,1005,30
15,-93,28.1,1005,30
16,-93.52,28.36,1004,32
17,-94,28.6,1003,35
18,-94.51,28.78,1001,37
19,-95,29,999,40
20,-95.3,29.2,999,40
21,-95.39,29.28,999,37
22,-95.5,29.5,1002,30
23,-95.73,29.75,1002,27
24,-96,30,1003,25
25,-96.25,30.21,1003,22
26,-96.5,30.5,1003,20
27,-96.75,31,1003,20
28,-97,31.5,1004,20
29,-97.21,31.75,1004,20
30,-97.5,32,1004,20
31,-98.04,32.54,1004,20
32,-98.5,33,1004,20
33,-98.58,33.07,1004,20
34,-98.5,33,1004,20
35,-98.5,33,1004,20
36,-98.5,33,1004,20
37,-98.5,33,1004,20
38,-98.5,33,1004,20
39,-98.5,33,1004,20
40,-98.5,33,1004,20
41,-98.5,33,1004,20
42,-98.5,33,1004,20
